,p,BFS Time,A* Time
0,0.13,0.445053,1.3148427
0,0.14,0.4238193,1.6896682
0,0.14,0.4467664,1.0657475
0,0.14,0.4282054,1.2344112
0,0.14,0.3498195,1.0047829
0,0.14,0.4459906,1.1267198
0,0.14,0.3853645,1.4482338
0,0.14,0.3529613,1.1588027
0,0.14,0.6135032,1.9331743
0,0.14,0.4901907,1.6386809
0,0.14,0.4130616,1.0039221
0,0.14,0.3783018,1.3168421
0,0.14,0.4502425,1.6349767
0,0.14,0.525655,1.9569727
0,0.14,0.5750254,1.9975063
0,0.14,0.3368936,1.0607906
0,0.14,0.5657696,1.919942
0,0.14,0.4048825,1.3063238
0,0.14,0.6350584,2.2812606
0,0.14,0.4171764,1.4453691
0,0.14,0.4641812,1.7241256
0,0.14,0.6881798,1.3505689
0,0.14,0.5360724,1.7747155
0,0.14,0.4468732,1.4470702
0,0.14,0.3959078,1.3749206
0,0.14,0.2358869,0.7820864
0,0.14,0.4422728,1.3018648
0,0.14,0.4375604,1.6229158
0,0.14,0.2793069,0.9859877
0,0.14,0.3035312,1.1578331
0,0.14,0.3126975,0.8546906
0,0.15,0.4327186,1.4060401
0,0.15,0.4777567,1.8833013
0,0.15,0.3548553,1.3227258
0,0.15,0.56408,1.9316552
0,0.15,0.342924,1.4299964
0,0.15,0.5751025,1.9482259
0,0.15,0.470475,1.6253623
0,0.15,0.3969459,1.3135244
0,0.15,0.4461566,1.1227443
0,0.15,0.3008875,1.0024691
0,0.15,0.4375663,1.16031
0,0.15,0.4189263,1.4284644
0,0.15,0.4617955,1.3921025
0,0.15,0.5300156,1.1911682
0,0.15,0.3586757,1.2139517
0,0.15,0.5384353,2.0059395
0,0.15,0.5224563,1.60342
0,0.15,0.4390264,1.5439469
0,0.15,0.4466742,1.1340661
0,0.15,0.4856269,1.3902187
0,0.15,0.5579084,1.5726539
0,0.15,0.4481057,1.6924752
0,0.15,0.4403084,1.2341325
0,0.15,0.4051945,1.5601491
0,0.15,0.3898451,1.2187485
0,0.15,0.4528975,1.4972199
0,0.15,0.3878238,0.8185737
0,0.15,0.4780176,1.9305859
0,0.15,0.4789332,1.4991674
0,0.15,0.3509688,0.7760755
0,0.16,0.4022868,1.1755106
0,0.16,0.4186124,1.4663981
0,0.16,0.4082595,1.7512689
0,0.16,0.3963394,1.4528891
0,0.16,0.4691811,1.3191373
0,0.16,0.3467978,1.0980175
0,0.16,0.3646555,1.6565511
0,0.16,0.4093844,1.2132731
0,0.16,0.4405802,1.5491154
0,0.16,0.6057908,1.8757926
0,0.16,0.4124997,1.1157869
0,0.16,0.4297601,1.4909769
0,0.16,0.5375647,1.8717853
0,0.16,0.3764812,0.7767901
0,0.16,0.4565062,1.4251226
0,0.16,0.4135287,1.2632647
0,0.16,0.4789262,1.5132286
0,0.16,0.4120264,1.4653599
0,0.16,0.5342193,1.8420881
0,0.16,0.3547599,1.0499898
0,0.16,0.498077,1.9293322
0,0.16,0.5835707,1.9576667
0,0.16,0.67468,1.6355368
0,0.16,0.4344728,1.6187512
0,0.16,0.5740241,1.8767553
0,0.16,0.3756393,1.1270302
0,0.16,0.3781875,0.9356295
0,0.16,0.3951005,1.4338772
0,0.16,0.5369358,1.7438385
0,0.16,0.5601235,2.160176
0,0.17,0.461873,1.4520597
0,0.17,0.6161591,2.0515371
0,0.17,0.4600554,1.3374209
0,0.17,0.4464992,1.8524494
0,0.17,0.5530519,1.9770057
0,0.17,0.6758378,2.1356832
0,0.17,0.4663824,1.5622289
0,0.17,0.4699272,1.6181774
0,0.17,0.3352375,0.9929987
