,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.03,205,201,201,50514
0,0.03,205,201,201,24001
0,0.03,209,201,201,35067
0,0.03,203,201,201,15288
0,0.03,205,201,201,20245
0,0.03,207,201,201,34842
0,0.03,205,201,201,15687
0,0.03,205,201,201,10498
0,0.03,207,201,201,23770
0,0.03,203,201,201,16009
0,0.03,209,201,201,36706
0,0.03,209,201,201,29591
0,0.03,211,201,201,10814
0,0.03,205,201,201,10508
0,0.03,211,201,201,14486
0,0.03,209,201,201,18382
0,0.03,203,201,201,26310
0,0.03,203,201,201,17764
0,0.03,201,201,201,30334
0,0.03,205,201,201,35505
0,0.03,203,201,201,25914
0,0.03,203,201,201,21185
0,0.03,203,201,201,21510
0,0.03,207,201,201,36156
0,0.03,211,201,201,30941
0,0.03,207,201,201,18612
0,0.03,209,201,201,16329
0,0.04,211,201,201,32756
0,0.04,207,201,201,27598
0,0.04,217,201,201,47347
0,0.04,205,201,201,57906
0,0.04,213,201,201,21299
0,0.04,207,201,201,20539
0,0.04,209,201,201,63299
0,0.04,205,201,201,44071
0,0.04,205,201,201,37153
0,0.04,209,201,201,22884
0,0.04,211,201,201,46548
0,0.04,217,201,201,33724
0,0.04,217,201,201,36567
0,0.04,209,201,201,49654
0,0.04,211,201,201,12355
0,0.04,205,201,201,25341
0,0.04,209,201,201,29432
0,0.04,205,201,201,35139
0,0.04,209,201,201,33524
0,0.04,211,201,201,36211
0,0.04,211,201,201,20936
0,0.04,203,201,201,36858
0,0.04,205,201,201,45278
0,0.04,215,201,201,21635
0,0.04,211,201,201,33119
0,0.04,211,201,201,21967
0,0.04,225,201,201,36988
0,0.04,205,201,201,34470
0,0.04,207,201,201,15122
0,0.04,207,201,201,32304
0,0.04,203,201,201,29424
0,0.04,203,201,201,21007
0,0.04,205,201,201,31307
0,0.04,215,201,201,39780
0,0.04,205,201,201,27589
0,0.04,213,201,201,21334
0,0.04,207,201,201,19286
0,0.04,209,201,201,39857
0,0.04,205,201,201,55697
0,0.04,207,201,201,14705
0,0.04,211,201,201,30893
0,0.04,207,201,201,34308
0,0.04,215,201,201,25919
0,0.04,209,201,201,21704
0,0.04,211,201,201,37166
0,0.04,211,201,201,36698
0,0.04,203,201,201,27894
0,0.04,211,201,201,21935
0,0.04,211,201,201,21608
0,0.04,209,201,201,35218
0,0.04,209,201,201,25448
0,0.04,211,201,201,18046
0,0.04,217,201,201,48101
0,0.04,207,201,201,13947
0,0.04,215,201,201,35595
0,0.04,211,201,201,27809
0,0.04,207,201,201,50915
0,0.04,211,201,201,11463
0,0.04,215,201,201,35155
0,0.04,203,201,201,21833
0,0.04,215,201,201,32816
0,0.04,211,201,201,33676
