,p,Trajectory Length,FDG Length,FG Length,Cells Processed
0,0.09,223,201,201,151725
0,0.09,221,201,201,122501
0,0.09,229,201,201,143434
0,0.09,215,201,201,100851
0,0.09,215,201,201,116787
0,0.09,223,201,201,123297
0,0.09999999999999999,215,201,201,83726
0,0.09999999999999999,237,201,201,162545
0,0.09999999999999999,243,201,201,132698
0,0.09999999999999999,233,201,201,129443
0,0.09999999999999999,245,201,201,163346
0,0.09999999999999999,225,201,201,177906
0,0.09999999999999999,221,201,201,141299
0,0.09999999999999999,215,201,201,126862
0,0.09999999999999999,233,201,201,214181
0,0.09999999999999999,241,201,201,113172
0,0.09999999999999999,231,201,201,198610
0,0.09999999999999999,213,201,201,137309
0,0.09999999999999999,245,201,201,163467
0,0.09999999999999999,223,201,201,164614
0,0.09999999999999999,235,201,201,209814
0,0.09999999999999999,221,201,201,148683
0,0.09999999999999999,235,201,201,129630
0,0.09999999999999999,249,201,201,232767
0,0.09999999999999999,215,201,201,170361
0,0.09999999999999999,225,201,201,132827
0,0.09999999999999999,235,201,201,216183
0,0.09999999999999999,223,201,201,140936
0,0.09999999999999999,231,201,201,136671
0,0.09999999999999999,239,201,201,207524
0,0.09999999999999999,233,201,201,136790
0,0.09999999999999999,231,201,201,138568
0,0.09999999999999999,237,201,201,192424
0,0.09999999999999999,253,201,201,137604
0,0.09999999999999999,231,201,201,213704
0,0.09999999999999999,239,201,201,196062
0,0.10999999999999999,221,201,201,165660
0,0.10999999999999999,223,201,201,155862
0,0.10999999999999999,233,201,201,144502
0,0.10999999999999999,217,201,201,122969
0,0.10999999999999999,227,201,201,174010
0,0.10999999999999999,225,201,201,183642
0,0.10999999999999999,225,201,201,228780
0,0.10999999999999999,217,201,201,105505
0,0.10999999999999999,215,201,201,193332
0,0.10999999999999999,239,201,201,163575
0,0.10999999999999999,239,201,201,242622
0,0.10999999999999999,237,201,201,186335
0,0.10999999999999999,225,201,201,155313
0,0.10999999999999999,219,201,201,127056
0,0.10999999999999999,229,201,201,135961
0,0.10999999999999999,217,201,201,145952
0,0.10999999999999999,237,201,201,175632
0,0.10999999999999999,243,201,201,256091
0,0.10999999999999999,223,201,201,140755
0,0.10999999999999999,231,201,201,193142
0,0.10999999999999999,239,201,201,149501
0,0.10999999999999999,229,201,201,137361
0,0.10999999999999999,225,201,201,202941
0,0.10999999999999999,217,201,201,144865
0,0.10999999999999999,237,201,201,218355
0,0.10999999999999999,227,201,201,154750
0,0.10999999999999999,235,201,201,106842
0,0.10999999999999999,233,201,201,148275
0,0.10999999999999999,219,201,201,128032
0,0.10999999999999999,241,201,201,191718
0,0.11999999999999998,227,201,201,168868
0,0.11999999999999998,229,201,201,177498
0,0.11999999999999998,243,201,201,206413
0,0.11999999999999998,233,201,201,210628
0,0.11999999999999998,231,201,201,185537
0,0.11999999999999998,241,201,201,186014
0,0.11999999999999998,227,201,201,234196
0,0.11999999999999998,235,201,201,247465
0,0.11999999999999998,249,201,201,199779
0,0.11999999999999998,221,201,201,147313
0,0.11999999999999998,239,201,201,285065
0,0.11999999999999998,243,201,201,183521
0,0.11999999999999998,241,201,201,177004
0,0.11999999999999998,215,201,201,171959
0,0.11999999999999998,235,201,201,150692
0,0.11999999999999998,239,201,201,144315
0,0.11999999999999998,225,201,201,235016
0,0.11999999999999998,233,201,201,192724
0,0.11999999999999998,231,201,201,204241
0,0.11999999999999998,229,201,201,164245
0,0.11999999999999998,221,201,201,141601
0,0.11999999999999998,239,201,201,146887
0,0.11999999999999998,221,201,201,66978
0,0.11999999999999998,231,201,201,194182
0,0.11999999999999998,237,201,201,175868
0,0.11999999999999998,253,201,201,175546
0,0.11999999999999998,243,201,201,176457
0,0.11999999999999998,225,201,201,156266
0,0.11999999999999998,211,201,201,161545
0,0.11999999999999998,229,201,201,163026
0,0.12999999999999998,227,201,201,221301
0,0.12999999999999998,221,201,201,123350
0,0.12999999999999998,239,201,201,166387
0,0.12999999999999998,243,201,201,281340
0,0.12999999999999998,231,201,201,252795
0,0.12999999999999998,247,201,201,193904
0,0.12999999999999998,231,201,201,189900
0,0.12999999999999998,239,201,201,123419
0,0.12999999999999998,223,201,201,207592
0,0.12999999999999998,237,201,201,217515
0,0.12999999999999998,231,201,201,215953
0,0.12999999999999998,237,201,201,166469
0,0.12999999999999998,229,201,201,218130
0,0.12999999999999998,221,201,201,144058
0,0.12999999999999998,245,201,201,230429
0,0.12999999999999998,239,201,201,165621
0,0.12999999999999998,241,201,201,192080
0,0.12999999999999998,233,201,201,227437
0,0.12999999999999998,245,201,201,231721
0,0.12999999999999998,231,201,201,199718
0,0.12999999999999998,221,201,201,160431
0,0.12999999999999998,251,201,201,351234
0,0.12999999999999998,243,201,201,204828
0,0.12999999999999998,241,201,201,223439
0,0.12999999999999998,241,201,201,237500
0,0.12999999999999998,259,201,201,274007
0,0.12999999999999998,229,201,201,175638
0,0.12999999999999998,225,201,201,224700
0,0.12999999999999998,233,201,201,274363
0,0.12999999999999998,227,201,201,184715
0,0.13999999999999999,239,201,201,300751
0,0.13999999999999999,235,201,201,215056
0,0.13999999999999999,249,201,201,233569
0,0.13999999999999999,219,201,201,191821
0,0.13999999999999999,261,201,201,233238
0,0.13999999999999999,257,201,201,221824
0,0.13999999999999999,233,201,201,303644
0,0.13999999999999999,261,201,201,273225
0,0.13999999999999999,241,201,201,163541
0,0.13999999999999999,239,201,201,206236
0,0.13999999999999999,247,201,201,331785
0,0.13999999999999999,247,201,201,317239
0,0.13999999999999999,247,201,201,208227
0,0.13999999999999999,253,201,201,174018
0,0.13999999999999999,239,201,201,275423
0,0.13999999999999999,235,201,201,194671
0,0.13999999999999999,237,201,201,289760
0,0.13999999999999999,231,201,201,268436
0,0.13999999999999999,237,201,201,212101
0,0.13999999999999999,241,201,201,324980
0,0.13999999999999999,239,201,201,304926
0,0.13999999999999999,259,201,201,248493
0,0.13999999999999999,237,201,201,185735
0,0.13999999999999999,241,201,201,183366
0,0.13999999999999999,235,201,201,199422
0,0.13999999999999999,237,201,201,214319
0,0.13999999999999999,249,201,201,231159
0,0.13999999999999999,243,201,201,256352
0,0.13999999999999999,249,201,201,298552
0,0.13999999999999999,225,201,201,308475
0,0.15,259,201,201,193787
0,0.15,243,201,201,284627
0,0.15,255,201,201,320469
0,0.15,231,201,201,258948
0,0.15,287,201,201,260016
0,0.15,227,201,201,196921
0,0.15,231,201,201,280367
0,0.15,247,201,201,308957
0,0.15,245,201,201,264931
0,0.15,259,201,201,206336
0,0.15,265,201,201,265894
0,0.15,231,201,201,323379
0,0.15,261,201,201,299347
0,0.15,245,201,201,199604
0,0.15,243,201,201,240347
0,0.15,229,201,201,209990
0,0.15,253,201,201,287160
0,0.15,263,201,201,227893
0,0.15,239,201,201,384789
0,0.15,245,201,201,233615
0,0.15,241,201,201,337428
0,0.15,251,201,201,274138
0,0.15,239,201,201,250712
0,0.15,251,201,201,159020
0,0.15,225,201,201,327224
0,0.15,249,201,201,300221
0,0.15,243,201,201,283527
0,0.15,225,201,201,258329
0,0.15,275,201,201,313436
0,0.15,253,201,201,210658
0,0.16,267,201,201,391151
0,0.16,277,201,201,255257
0,0.16,265,201,201,376717
0,0.16,237,201,201,228647
0,0.16,245,201,201,308397
0,0.16,259,201,201,255434
0,0.16,229,201,201,233242
0,0.16,235,201,201,240561
0,0.16,235,201,201,258591
0,0.16,231,201,201,264678
0,0.16,253,201,201,252650
0,0.16,235,201,201,229132
0,0.16,269,201,201,290241
0,0.16,255,201,201,257448
0,0.16,241,201,201,226345
0,0.16,255,201,201,301842
0,0.16,255,201,201,346855
0,0.16,239,201,201,263491
0,0.16,297,201,201,202265
0,0.16,253,201,201,263347
0,0.16,259,201,201,208524
0,0.16,249,201,201,284228
0,0.16,231,201,201,330832
0,0.16,265,201,201,363629
0,0.16,239,201,201,285805
0,0.16,249,201,201,226811
0,0.16,261,201,201,337778
0,0.16,275,201,201,301248
0,0.16,227,201,201,195192
0,0.16,265,201,201,302828
0,0.17,263,201,201,334194
0,0.17,245,201,201,268759
0,0.17,255,201,201,280824
0,0.17,259,201,201,300256
0,0.17,267,201,201,434926
0,0.17,283,201,201,281591
0,0.17,303,201,201,364646
0,0.17,249,201,201,351736
0,0.17,285,201,201,284805
0,0.17,277,201,201,231470
0,0.17,267,201,201,363995
0,0.17,267,201,201,407425
0,0.17,247,201,201,231217
0,0.17,255,201,201,258605
0,0.17,261,201,201,240383
0,0.17,261,201,201,379094
0,0.17,289,201,201,362995
0,0.17,265,201,201,335204
0,0.17,273,201,201,315604
0,0.17,233,201,201,240800
0,0.17,255,201,201,244274
0,0.17,285,201,201,304489
0,0.17,227,201,201,182916
0,0.17,243,201,201,275038
0,0.17,265,201,201,315150
0,0.17,251,201,201,324464
0,0.17,243,201,201,276462
0,0.17,237,201,201,257681
0,0.17,263,201,201,237650
0,0.17,257,201,201,364219
0,0.18000000000000002,257,201,201,323581
0,0.18000000000000002,325,201,201,402322
0,0.18000000000000002,295,201,201,414631
0,0.18000000000000002,273,201,201,275512
0,0.18000000000000002,311,201,201,491394
0,0.18000000000000002,289,201,201,335299
0,0.18000000000000002,269,201,201,416782
0,0.18000000000000002,253,201,201,405419
0,0.18000000000000002,269,201,201,319029
0,0.18000000000000002,257,201,201,351999
0,0.18000000000000002,293,201,201,435763
0,0.18000000000000002,247,201,201,280481
0,0.18000000000000002,261,201,201,284663
0,0.18000000000000002,271,201,201,472851
0,0.18000000000000002,235,201,201,278825
0,0.18000000000000002,287,201,201,332646
0,0.18000000000000002,249,201,201,253175
0,0.18000000000000002,289,201,201,403523
0,0.18000000000000002,301,201,201,281918
